myo,pi,power,displacement_nm,time_on_ms,force
S217A,0mM-Pi,1.5-W,23.78386293,81.2,0.9513545172
S217A,0mM-Pi,1.5-W,7.212416192,84.4,0.28849664768
S217A,0mM-Pi,1.5-W,21.8846611,29,0.875386444
S217A,0mM-Pi,1.5-W,16.03169469,33.8,0.6412677876
S217A,0mM-Pi,1.5-W,34.77203333,23,1.3908813332
S217A,0mM-Pi,1.5-W,33.7732429,35.8,1.350929716
S217A,0mM-Pi,1.5-W,14.547659,36.8,0.58190636
S217A,0mM-Pi,1.5-W,76.1920355,208.6,3.04768142
S217A,0mM-Pi,1.5-W,16.54168428,53.8,0.6616673712
S217A,0mM-Pi,1.5-W,38.56454348,20.6,1.5425817392
S217A,0mM-Pi,1.5-W,14.72242203,41.2,0.5888968812
S217A,0mM-Pi,1.5-W,47.73244256,97.4,1.9092977024
S217A,0mM-Pi,1.5-W,25.82322957,107.6,1.0329291828
S217A,0mM-Pi,1.5-W,33.2049382,26.2,1.328197528
S217A,0mM-Pi,1.5-W,17.03471661,34.4,0.6813886644
S217A,0mM-Pi,1.5-W,17.63673098,68.4,0.7054692392
S217A,0mM-Pi,1.5-W,24.55625514,31.2,0.9822502056
S217A,0mM-Pi,1.5-W,16.74102538,68.6,0.6696410152
S217A,0mM-Pi,1.5-W,20.13286262,36.8,0.8053145048
S217A,0mM-Pi,1.5-W,30.0152067,54,1.200608268
S217A,0mM-Pi,1.5-W,37.28209937,58.8,1.4912839748
S217A,0mM-Pi,1.5-W,65.79501726,41,2.6318006904
S217A,0mM-Pi,1.5-W,19.85405383,57.2,0.7941621532
S217A,0mM-Pi,1.5-W,61.56247913,174.4,2.4624991652
S217A,0mM-Pi,1.5-W,20.08714344,102.4,0.8034857376
S217A,0mM-Pi,1.5-W,18.16544185,28.6,0.726617674
S217A,0mM-Pi,1.5-W,21.24859472,41.6,0.8499437888
S217A,0mM-Pi,1.5-W,36.1078502,29.2,1.444314008
S217A,0mM-Pi,1.5-W,37.68877453,27.6,1.5075509812
S217A,0mM-Pi,1.5-W,39.61719505,108.6,1.584687802
S217A,0mM-Pi,1.5-W,6.826774961,103,0.27307099844
S217A,0mM-Pi,1.5-W,8.112006217,96.4,0.32448024868
S217A,0mM-Pi,1.5-W,29.74610506,37.6,1.1898442024
S217A,0mM-Pi,1.5-W,24.39737742,39.4,0.9758950968
S217A,0mM-Pi,1.5-W,56.74966102,81.4,2.2699864408
S217A,0mM-Pi,1.5-W,48.79349528,63.2,1.9517398112
S217A,0mM-Pi,1.5-W,46.32341997,108.4,1.8529367988
S217A,0mM-Pi,1.5-W,17.76985092,161,0.7107940368
S217A,0mM-Pi,1.5-W,40.14731976,84,1.6058927904
S217A,0mM-Pi,1.5-W,47.72304936,28,1.9089219744
S217A,0mM-Pi,1.5-W,27.84793725,58.2,1.11391749
S217A,0mM-Pi,1.5-W,16.7415227,42.2,0.669660908
S217A,0mM-Pi,1.5-W,2.797252883,243,0.11189011532
S217A,0mM-Pi,1.5-W,30.20452586,177.4,1.2081810344
S217A,0mM-Pi,1.5-W,21.6956908,52.2,0.867827632
S217A,0mM-Pi,1.5-W,54.76466932,133.2,2.1905867728
S217A,0mM-Pi,1.5-W,26.96252957,40.8,1.0785011828
S217A,0mM-Pi,1.5-W,29.67859059,177.8,1.1871436236
S217A,0mM-Pi,1.5-W,13.17233879,65.2,0.5268935516
S217A,0mM-Pi,1.5-W,10.02072912,36.6,0.4008291648
S217A,0mM-Pi,1.5-W,61.12390915,189.6,2.444956366
S217A,0mM-Pi,1.5-W,52.4109684,58,2.096438736
S217A,0mM-Pi,1.5-W,28.96420553,103,1.1585682212
S217A,0mM-Pi,1.5-W,37.20757897,49.4,1.4883031588
S217A,0mM-Pi,1.5-W,19.38757129,306.6,0.7755028516
S217A,0mM-Pi,1.5-W,19.4472768,134.8,0.777891072
S217A,0mM-Pi,1.5-W,36.771805,28.4,1.4708722
S217A,0mM-Pi,1.5-W,25.68264186,74.8,1.0273056744
S217A,0mM-Pi,1.5-W,39.52430764,43,1.5809723056
S217A,0mM-Pi,1.5-W,6.392490932,80.6,0.25569963728
S217A,0mM-Pi,1.5-W,35.84127399,52.2,1.4336509596
S217A,0mM-Pi,1.5-W,5.090836296,87.6,0.20363345184
S217A,0mM-Pi,1.5-W,30.93508332,49.8,1.2374033328
S217A,0mM-Pi,1.5-W,35.74931749,140,1.4299726996
S217A,0mM-Pi,1.5-W,46.530708,120,1.86122832
S217A,0mM-Pi,1.5-W,43.29571156,29.8,1.7318284624
S217A,0mM-Pi,1.5-W,26.13936012,197.4,1.0455744048
S217A,0mM-Pi,1.5-W,22.1139644,45.4,0.884558576
S217A,0mM-Pi,1.5-W,30.19530118,70.6,1.2078120472
S217A,0mM-Pi,1.5-W,11.05437282,45.8,0.4421749128
S217A,0mM-Pi,1.5-W,16.09316804,44.8,0.6437267216
S217A,0mM-Pi,1.5-W,57.6780225,117.4,2.3071209
S217A,0mM-Pi,1.5-W,8.078717241,40.6,0.32314868964
S217A,0mM-Pi,1.5-W,19.03471169,45.6,0.7613884676
S217A,0mM-Pi,1.5-W,22.95854294,40,0.9183417176
S217A,0mM-Pi,1.5-W,0.826215681,216.8,0.03304862724
S217A,0mM-Pi,1.5-W,7.875622183,44.6,0.31502488732
S217A,0mM-Pi,1.5-W,15.46333425,33.6,0.61853337
S217A,0mM-Pi,1.5-W,9.664609278,191.4,0.38658437112
S217A,0mM-Pi,1.5-W,26.622876,100.6,1.06491504
S217A,0mM-Pi,1.5-W,33.0706646,37.2,1.322826584
S217A,0mM-Pi,1.5-W,55.76870933,31.4,2.2307483732
S217A,0mM-Pi,1.5-W,14.955486,50.8,0.59821944
S217A,0mM-Pi,1.5-W,28.038486,53.8,1.12153944
S217A,0mM-Pi,1.5-W,15.327592,56.2,0.61310368
S217A,0mM-Pi,1.5-W,77.99883539,38.4,3.1199534156
S217A,0mM-Pi,1.5-W,12.31279457,145.2,0.4925117828
S217A,0mM-Pi,1.5-W,46.85308518,64.2,1.8741234072
S217A,0mM-Pi,1.5-W,61.27844101,78.4,2.4511376404
S217A,0mM-Pi,1.5-W,55.59348194,99.4,2.2237392776
S217A,0mM-Pi,1.5-W,29.98873356,40.6,1.1995493424
S217A,0mM-Pi,1.5-W,46.42744766,71.8,1.8570979064
S217A,0mM-Pi,1.5-W,28.70977782,38,1.1483911128
