project,conditions,myosin type,Pi,Load,date,obs,time_off_ms,time_on_ms,displacement_nm,force,alyzer,index,hmm_state,num_windows,length_hz,start,start2,stop,cp_found_start,cp_found_stop,is_positive,keep,cp_displacements,trap_stiffness,myo_stiffness,front_sigl_ratio,back_sigl_ratio,cp_time_on_dp,cp_time_on_ms,hm_event_start,hm_event_stop,cp_event_start_dp,cp_event_stop_dp,conversion,peak_nm_index,time_to_peak_nm_ms,rate_to_peak_nm
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,2090,74.8,25.68264186,1.027305674,hm-model/cp,15,2,7,350,105058,21.0116,105431,TRUE,TRUE,TRUE,TRUE,17.47118494,0.035933043,0.119624972,4.761566454,2.989703894,374,74.8,2102,2108,105058,105431,50,21.04,28.4,35.21126761
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,240,43,39.52430764,1.580972306,hm-model/cp,49,2,4,200,210108,42.0216,210322,TRUE,TRUE,TRUE,TRUE,26.88728411,0.032765438,0.109981828,7.141732127,0.53739186,215,43,4203,4206,210108,210322,50,42.05,28.4,35.21126761
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,1240,80.6,6.392490932,0.255699637,hm-model/cp,5,2,7,350,25708,5.1416,26110,TRUE,TRUE,TRUE,TRUE,4.348633287,0.043823835,0.119287686,2.519152123,2.768916263,403,80.6,516,522,25708,26110,50,5.17,28.4,35.21126761
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-05,36,52.2,35.84127399,1.43365096,hm-model/cp,3,2,5,150,3038,0.6076,3298,TRUE,TRUE,TRUE,TRUE,24.38181904,0.009442229,0.019114056,1.885693727,6.191026017,261,52.2,103,107,3038,3298,30,0.636,28.4,35.21126761
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,410,87.6,5.090836296,0.203633452,hm-model/cp,137,2,7,350,417307,83.4614,417744,TRUE,TRUE,TRUE,TRUE,3.463153943,0.040169999,0.100324385,0.759076225,1.672633034,438,87.6,8349,8355,417307,417744,50,83.49,28.6,34.96503497
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,190,49.8,30.93508332,1.237403333,hm-model/cp,322,2,5,250,846707,169.3414,846955,TRUE,TRUE,TRUE,TRUE,21.04427437,0.028210605,0.103309005,1.882529334,2.640885874,249,49.8,16934,16938,846707,846955,50,169.37,28.6,34.96503497
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,860,140,35.74931749,1.4299727,hm-model/cp,4,2,12,600,18906,3.7812,19605,TRUE,TRUE,TRUE,TRUE,24.3192636,0.043906256,0.083337967,4.431653804,1.701322568,700,140,380,391,18906,19605,50,3.81,28.8,34.72222222
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-01,105,120,46.530708,1.86122832,hm-model/cp,4,2,5,375,5406,1.0812,6005,TRUE,TRUE,TRUE,TRUE,31.65354286,0.012483133,0.021121337,2.301929579,2.524911556,600,120,75,79,5406,6005,75,1.11,28.8,34.72222222
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-06,750,29.8,43.29571156,1.731828462,hm-model/cp,15,2,2,60,76087,15.2174,76235,TRUE,TRUE,TRUE,TRUE,29.45286501,0.029955418,0.02111853,1.907358333,8.013764161,149,29.8,2539,2540,76087,76235,30,15.2462,28.8,34.72222222
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,320,197.4,26.13936012,1.045574405,hm-model/cp,221,2,18,900,614155,122.831,615141,TRUE,TRUE,TRUE,TRUE,17.78187763,0.04104578,0.104426463,5.446400761,3.284619737,987,197.4,12285,12302,614155,615141,50,122.86,29,34.48275862
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,1810,45.4,22.1139644,0.884558576,hm-model/cp,13,2,3,150,91104,18.2208,91330,TRUE,TRUE,TRUE,TRUE,15.0435132,0.034957966,0.086284069,2.400191229,5.305581281,227,45.4,1823,1825,91104,91330,50,18.25,29.2,34.24657534
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-06,330,70.6,30.19530118,1.207812047,hm-model/cp,13,2,9,270,59652,11.9304,60004,TRUE,TRUE,TRUE,TRUE,20.54102121,0.031131021,0.108280804,3.151976609,1.111577078,353,70.6,1990,1998,59652,60004,30,11.9596,29.2,34.24657534
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,1120,45.8,11.05437282,0.442174913,hm-model/cp,38,2,3,150,185504,37.1008,185732,TRUE,TRUE,TRUE,TRUE,7.519981511,0.037496279,0.150241785,4.052232548,1.006948443,229,45.8,3711,3713,185504,185732,50,37.13,29.2,34.24657534
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,470,44.8,16.09316804,0.643726722,hm-model/cp,277,2,2,100,739153,147.8306,739376,TRUE,TRUE,TRUE,TRUE,10.94773336,0.035587791,0.061033255,2.791550564,0.805584538,224,44.8,14786,14787,739153,739376,50,147.86,29.4,34.01360544
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-01,120,117.4,57.6780225,2.3071209,hm-model/cp,47,2,5,375,88869,17.7738,89455,TRUE,TRUE,TRUE,TRUE,39.23675,0.005063139,0.019945147,2.898922998,0.952372628,587,117.4,1187,1191,88869,89455,75,17.8034,29.6,33.78378378
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,110,40.6,8.078717241,0.32314869,hm-model/cp,316,2,4,200,830151,166.0302,830353,TRUE,TRUE,TRUE,TRUE,5.495726014,0.041618351,0.190267546,1.728221212,2.811382796,203,40.6,16603,16606,830151,830353,50,166.06,29.8,33.55704698
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,260,45.6,19.03471169,0.761388468,hm-model/cp,119,2,3,150,382051,76.4102,382278,TRUE,TRUE,TRUE,TRUE,12.94878346,0.039519948,0.138873242,4.020494852,4.909666396,228,45.6,7642,7644,382051,382278,50,76.44,29.8,33.55704698
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,580,40,22.95854294,0.918341718,hm-model/cp,203,2,3,150,575000,115,575199,TRUE,TRUE,TRUE,TRUE,15.61805642,0.038743971,0.154932723,2.582237948,7.140432973,200,40,11501,11503,575000,575199,50,115.03,30,33.33333333
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,410,216.8,0.826215681,0.033048627,hm-model/cp,92,2,21,1050,314148,62.8296,315231,TRUE,TRUE,FALSE,TRUE,0.562051484,0.033525437,0.11925173,1.840090248,2.139081963,1084,216.8,6283,6303,314148,315231,50,62.86,30.4,32.89473684
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,330,44.6,7.875622183,0.315024887,hm-model/cp,68,2,4,200,258548,51.7096,258770,TRUE,TRUE,TRUE,TRUE,5.357566111,0.033503976,0.05835942,2.094716908,0.752883875,223,44.6,5172,5175,258548,258770,50,51.74,30.4,32.89473684
project_myoV-MINI,S217A ,S217A,0,Low,44009,obs-04,120,33.6,15.46333425,0.61853337,hm-model/cp,11,2,2,150,47427,9.4854,47594,TRUE,TRUE,TRUE,TRUE,10.519275,0.028436714,0.181567308,10.02006827,4.470842336,168,33.6,633,634,47427,47594,75,9.5162,30.8,32.46753247
project_myoV-MINI,S217A ,S217A,0,Low,44172,obs-02,240,191.4,9.664609278,0.386584371,hm-model/cp,40,2,18,900,189495,37.899,190451,TRUE,TRUE,TRUE,TRUE,6.574564135,0.033296047,0.112981068,6.868251157,1.29880745,957,191.4,3791,3808,189495,190451,50,37.93,31,32.25806452
