project,conditions,date,obs,time_off_ms,time_on_ms,displacement_nm,force,alyzer,index,hmm_state,num_windows,length_hz,start,stop,cp_found_start,cp_found_stop,is_positive,keep,cp_displacements,trap_stiffness,myo_stiffness,front_sigl_ratio,back_sigl_ratio,cp_time_on_dp,cp_time_on_ms,hm_event_start,hm_event_stop,cp_event_start_dp,cp_event_stop_dp,conversion,peak_nm_index
project_myoV-MINI,S217A ,44009,obs-01,75,219.8,45.2687088,0.905374176,hm-model/cp,74,2,12,900,161506,162604,TRUE,TRUE,TRUE,TRUE,30.79504,0.006273465,0.018034528,1.60588382,4.709713693,1099,219.8,2156,2167,161506,162604,75,32.4288
project_myoV-MINI,S217A ,44009,obs-01,180,544,45.4125875,0.90825175,hm-model/cp,26,2,35,2625,52877,55596,TRUE,TRUE,TRUE,TRUE,30.89291667,0.009699771,0.015225481,0.944751014,3.681129978,2720,544,706,740,52877,55596,75,10.8032
project_myoV-MINI,S217A ,44009,obs-06,90,60.2,45.70001536,0.914000307,hm-model/cp,44,2,8,240,148140,148440,TRUE,TRUE,TRUE,TRUE,31.08844582,0.024620936,0.071746163,2.489064101,1.535814821,301,60.2,4941,4948,148140,148440,30,29.6446
project_myoV-MINI,S217A ,44009,obs-06,138,48,46.18302668,0.923660534,hm-model/cp,54,2,6,180,164784,165023,TRUE,TRUE,TRUE,TRUE,31.41702495,0.028090543,0.149426427,0.731296164,2.118702671,240,48,5495,5500,164784,165023,30,32.97
project_myoV-MINI,S217A ,44009,obs-02,144,71.8,46.42744766,0.928548953,hm-model/cp,7,2,7,420,34736,35094,TRUE,TRUE,TRUE,TRUE,31.58329773,0.012637169,0.017127079,0.716114542,0.417926459,359,71.8,578,584,34736,35094,60,6.981
project_myoV-MINI,S217A ,44009,obs-01,30,580.6,46.513299,0.93026598,hm-model/cp,75,2,37,2775,162669,165571,TRUE,TRUE,TRUE,TRUE,31.6417,0.009866551,0.021796636,2.687253073,1.910860051,2903,580.6,2170,2206,162669,165571,75,32.6078
project_myoV-MINI,S217A ,44009,obs-01,105,120,46.530708,0.93061416,hm-model/cp,4,2,5,375,5406,6005,TRUE,TRUE,TRUE,TRUE,31.65354286,0.012483133,0.021121337,2.301929579,2.524911556,600,120,75,79,5406,6005,75,1.11
project_myoV-MINI,S217A ,44009,obs-01,255,64.2,46.85308518,0.937061704,hm-model/cp,36,2,3,225,66915,67235,TRUE,TRUE,TRUE,TRUE,31.87284706,0.007089469,0.017998489,2.912221707,1.258052994,321,64.2,893,895,66915,67235,75,13.4162
project_myoV-MINI,S217A ,44009,obs-01,60,66.4,46.92828,0.9385656,hm-model/cp,64,2,4,300,145876,146207,TRUE,TRUE,TRUE,TRUE,31.924,0.008629075,0.040112191,1.715482175,0.984101609,332,66.4,1945,1948,145876,146207,75,29.2404
project_myoV-MINI,S217A ,44009,obs-01,60,60,47.223309,0.94446618,hm-model/cp,60,2,3,225,128314,128613,TRUE,TRUE,TRUE,TRUE,32.1247,0.013144704,0.018749234,3.369630337,1.439737922,300,60,1712,1714,128314,128613,75,25.7074
project_myoV-MINI,S217A ,44009,obs-01,30,402.4,47.452482,0.94904964,hm-model/cp,5,2,24,1800,6002,8013,TRUE,TRUE,TRUE,TRUE,32.2806,0.067715732,0.019234099,0.42869674,0.31553294,2012,402.4,82,105,6002,8013,75,1.4978
project_myoV-MINI,S217A ,44009,obs-05,264,54.6,47.65847594,0.953169519,hm-model/cp,26,2,8,240,28504,28776,TRUE,TRUE,TRUE,TRUE,32.42073193,0.006408621,0.038187024,4.372378749,3.28725807,273,54.6,950,957,28504,28776,30,5.7552
project_myoV-MINI,S217A ,44009,obs-02,396,28,47.72304936,0.954460987,hm-model/cp,24,2,2,120,61897,62036,TRUE,TRUE,TRUE,TRUE,32.46465943,0.012005869,0.028736324,2.053874936,0.630916863,140,28,1032,1033,61897,62036,60,12.4048
project_myoV-MINI,S217A ,44009,obs-06,228,123.2,47.86520412,0.957304082,hm-model/cp,50,2,17,510,155109,155724,TRUE,TRUE,TRUE,TRUE,32.56136335,0.020243869,0.094921253,1.254089489,1.040541302,616,123.2,5173,5189,155109,155724,30,31.0712
project_myoV-MINI,S217A ,44009,obs-01,30,1701.6,48.02637,0.9605274,hm-model/cp,58,2,111,8325,118539,127046,TRUE,TRUE,TRUE,TRUE,32.671,0.007745879,0.021353818,0.208538603,1.990990141,8508,1701.6,1583,1693,118539,127046,75,24.7664
project_myoV-MINI,S217A ,44009,obs-01,120,336.8,48.02897925,0.960579585,hm-model/cp,7,2,21,1575,9093,10776,TRUE,TRUE,TRUE,TRUE,32.672775,0.008395583,0.0187203,1.52614384,4.469796426,1684,336.8,122,142,9093,10776,75,2.0268
project_myoV-MINI,S217A ,44009,obs-05,24,73.6,48.57866973,0.971573395,hm-model/cp,4,2,8,240,3291,3658,TRUE,TRUE,TRUE,TRUE,33.0467141,0.037399411,0.009043246,0.140946603,1.105315797,368,73.6,112,119,3291,3658,30,0.701
project_myoV-MINI,S217A ,44009,obs-07,534,63.2,48.79349528,0.975869906,hm-model/cp,8,2,10,300,17258,17573,TRUE,TRUE,TRUE,TRUE,33.19285393,0.02654785,0.064055358,1.546340909,0.558740517,316,63.2,576,585,17258,17573,30,3.4764
